"STUDENT"	"PARTID"	"DATO"	"RELATION"	"LOCATION"	"TYPEINT"	"KON"	"SEKSU"	"ALDER"	"JOB"	"ETNIC"	"NATIO"	"FAMILE"	"UDDANN"	"UDTYP"	"BY"	"VACC"	"BEKYMJOB"	"BEKYMLIV"	"BEKYMFYS"	"BEKYMMENT"	"OKOLIGKON"	"TILOKKON"	"INDKOM"	"OKOBID"	"SOCKLAS"	"POLITIK"	"PARTI"	"NYHEDER"	"PLADSFREM"	"HELB"	"LSTAND"	"BESVAER"	"RASTLOS"	"ENSOM"	"ALSYG"	"POSITIV"	"TILKROP"	"SUNDKROP"	"DEPRI"	"KHUS"	"KBORN"	"MFAM"	"FMBORN"	"MSORD"	"MSVAGE"	"KOMS"	"MFYS"	"AFSTRAF"	"TVELFAERD"	"TPOL"	"TOFFSUND"	"TUDDAN"	"TREG"	"TSKAT"	"TIREG"	"TIREGIO"	"TIKOMM"	"TIREL"	"TIVIDEN"	"RELID"	"OPREL"	"MEDLEM"	"HVILKEM"	"FORAELDM"	"EMOTI"	"RADGIV"	"BSAMREL"	"STOPTRO"	"SKRIFT"	"BON"	"RELAKT"	"AUTO"	"RELGANG"	"VELKOM"	"REL69"	"REL70"	"REL71"	"REL72"	"REL73"	"REL74"	"REL75"	"REL76"	"REL77"	"REL78"	"REL79"	"REL80"	"REL81"	"REL82"	"REL83"	"REL84"	"REL85"	"REL86"	"REL87"	"REL88"	"REL89"	"REL90"	"REL91"	"REL92"	"REL93"	"REL94"	"REL95"	"REL96"	"REL97"	"REL98"	"REL99"	"REL100"	"REL101"	"REL102"	"REL103"	"REL104"	"REL105"	"REL106"	"REL107"	"REL108"	"REL109"	"REL110"	"REL111"	"REL112"	"REL113"	"REL114"	"REL115"	"REL116"	"REL117"	"REL118"	"REL119"	"REL120"	"REL121"	"REL122"	"REL123"	"REL124"	"REL125"	"REL126"	"REL127"	"REL128"	"REL129"	"REL130"	"REL131"	"REL132"	"REL133"	"RELID.r"	"KON.r"	"SEKSU.r"
"13"	"Anton"	"atoe10"	"octo3.24"	"familiar"	"Online"	"facebook"	0	1	22	"Studerende"	"1/4 costa rica 3/4 dansk"	"dansk"	1	"5"	"2"	"22"	1	0	-1	-2	0	2	-1	0	1	"2"	0	"alternativet"	"4"	-1	-1	0	-2	1	0	-2	1	-1	1	-1	-2	-2	-2	-2	-2	-2	-1	-1	-2	0	-1	-2	-1	-2	-1	-1	0	-1	0	1	"0"	0	"0"	"ingen"	"999"	"999"	"999"	"999"	"0"	0	0	"0"	"0"	0	4	1	-2	-2	-2	1	-2	-2	-2	-2	-1	-2	-2	-2	1	1	0	-2	-2	0	0	-2	-2	0	-2	0	-2	-2	-2	0	-2	1	-2	-2	-2	1	-1	0	0	-1	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	-2	-2	2	0	-2	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	2	0	0	0
"14"	"Anton"	"atoe11"	"octo5.24"	"family"	"home"	"face to face"	1	1	66	"pensionist"	"Dansk"	"Dansk"	2	"3.5"	"2"	"0"	1	-2	-2	1	-1	1	1	6	2	"2"	-2	"socialdemokratiet"	"1"	-1	1	-1	-1	0	-2	1	2	-1	-1	-2	1	1	0	1	-1	-1	1	1	-2	1	1	2	0	-1	2	-1	-1	1	1	1	"1"	0	"1"	"folkekirken"	"1"	"0"	"0"	"1"	"0"	0	0	"0"	"3"	2	5	-1	-2	-2	-2	-1	-2	-1	-2	-2	-1	-2	-2	-2	-1	1	1	-2	-2	-2	1	-2	-2	-2	-2	-2	-2	-2	-2	0	-2	2	-1	-1	-2	-1	-2	-2	-2	-1	-2	-2	-2	-2	-1	-2	-1	-2	1	-2	-1	-1	-2	-1	-2	2	1	-2	1	0	-1	1	-1	-2	-2	2	1	1	0
"15"	"Anton"	"atoe12"	"octo7.24"	"family"	"home"	"face to face"	0	1	59	"socialrådgiver"	"Dansk"	"Dansk"	2	"15"	"2"	"11"	1	-2	-1	-1	-1	2	-2	6	2	"2"	-2	"sf"	"2"	-2	-1	-1	-1	-1	-1	-1	2	1	0	-2	-1	-1	-1	-1	-1	-2	-1	1	-2	1	1	1	1	1	1	1	1	1	1	0	"1"	0	"1"	"folkekirken"	"1"	"0"	"0"	"999"	"999"	0	0	"1"	"0"	1	5	-1	0	-1	-1	-2	-2	0	1	-2	-1	1	-1	-1	1	0	1	0	1	1	0	-1	1	0	-2	-1	0	-2	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-2	-1	1	-1	0	0	-1	1	1	0	-1	1	-1	-1	-1	-1	-1	-1	1	1	0	0
"16"	"Anton"	"atoe13"	"octo8.24"	"familiar"	"Online"	"facebook"	0	1	27	"Studerende"	"Dansk"	"Dansk"	6	"18"	"1"	"5"	1	-1	-1	-2	-1	2	-2	1	2	"2"	-2	"sf"	"2"	-2	-2	-2	-1	0	-1	-2	1	1	1	-1	0	0	-2	-2	-2	-2	1	1	-2	1	1	1	1	-1	0	-1	1	1	0	2	"1"	0	"1"	"folkekirken"	"1"	"0"	"0"	"888"	"0"	0	0	"0"	"0"	0	3	1	0	-2	-1	-1	-1	-1	-1	-2	0	0	0	0	0	0	1	0	-1	-1	0	-2	0	-2	-2	0	0	-2	-2	-2	-2	-2	-2	-2	-1	1	-2	-2	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	-2	0	1	0	0	1	-2	-2	1	-2	-2	-2	-2	-2	-2	-2	1	0	0
"17"	"Anton"	"atoe14"	"octo8.24"	"friend"	"Online"	"facebook"	1	1	32	"fotograf"	"Dansk"	"Dansk"	2	"3.5"	"1"	"32"	1	-1	-1	1	-1	2	0	5	1	"2"	2	"venstre"	"4"	-2	0	-1	1	1	-2	-1	2	0	1	-1	-2	1	0	1	-2	-2	1	1	-2	1	-1	0	1	-1	1	1	1	0	0	2	"3"	1	"1"	"folkekirken"	"1"	"0"	"1"	"1"	"30"	0	2	"2"	"2"	2	5	2	-2	-2	-2	-2	-2	2	-2	-1	2	0	1	0	-2	-1	1	-1	-1	-2	1	-2	0	-2	-2	1	1	-2	-2	-2	-2	-2	-2	1	0	2	-2	-2	1	-2	-1	1	-2	-1	2	-1	0	-2	-1	-1	-1	-1	0	0	-1	-2	-2	0	2	0	0	0	1	-1	-2	-1	3	1	0
"18"	"Anton"	"atoe15"	"octo8.24"	"friend"	"Online"	"facebook"	1	1	33	"økonomi"	"kaukasisk"	"Dansk"	6	"5"	"1"	"12"	1	0	1	1	1	1	0	4	2	"2"	-1	"S"	"1"	1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-2	1	0	1	1	-2	-1	-1	0	0	0	1	"3"	1	"1"	"folkekirken"	"1"	"1"	"1"	"1"	"999"	1	3	"2"	"0"	3	5	1	-1	-1	1	-2	0	2	2	-2	0	-1	0	1	-1	-2	1	1	0	-2	1	-2	0	-2	-1	1	1	-2	-1	0	-1	0	1	2	1	1	-2	0	1	-1	1	0	-2	-1	1	2	0	0	-1	2	1	0	1	0	1	-1	-1	-2	1	-1	-1	-1	1	-1	1	1	3	1	0
"19"	"Anton"	"atoe2"	"sept29.24"	"family"	"home"	"face to face"	0	1	11	"folkeskole elev"	"Dansk"	"Dansk"	1	"6"	"1"	"0"	2	-2	-1	-2	-1	2	0	888	2	"2"	0	"stemte ikke"	"2"	-2	-2	-1	1	-1	-2	-1	2	1	1	-2	1	0	0	0	-1	0	0	0	-2	0	0	0	-1	0	0	-1	-1	-1	0	0	"0"	0	"0"	"ingen"	"999"	"999"	"999"	"888"	"0"	0	0	"0"	"0"	0	3	-2	0	-2	0	-2	0	-1	-1	-2	-1	-2	-1	0	-1	-2	-1	-1	-1	-1	-1	-2	-2	-1	-2	-1	-1	-2	-1	-1	-2	-1	-1	-1	-1	-1	-1	-2	-2	-1	-1	-2	-1	-2	-2	-2	-1	-1	-1	-2	-1	-1	2	-1	-1	2	-2	-2	2	-1	-2	-2	-2	-2	-2	2	0	0	0
"20"	"Anton"	"atoe3"	"sept25.24"	"familiar"	"Online"	"facebook"	1	1	29	"jobless"	"Dansk"	"Dansk"	6	"4"	"1"	"29"	1	2	2	0	1	2	0	888	2	"2"	-1	"alternativet"	"1"	2	1	2	2	1	2	1	0	0	-1	0	-2	-2	-2	-2	-2	-2	-2	0	-2	1	1	1	1	-1	0	0	1	1	0	2	"1"	0	"1"	"folkekirken"	"1"	"0"	"0"	"999"	"0"	0	0	"0"	"0"	0	4	1	-2	-2	-2	-1	-2	-2	-2	-2	0	-2	-2	-2	-2	1	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	-2	1	-2	-2	1	-2	-2	2	-2	-2	-2	-2	-2	-2	2	1	1	0
"21"	"Anton"	"atoe4"	"sept25.24"	"familiar"	"Online"	"facebook"	1	1	22	"Studerende"	"Dansk"	"Dansk"	1	"2"	"2"	"2"	1	-1	-1	1	2	2	-1	1	1	"2"	-2	"stemte ikke"	"4"	1	1	1	2	2	-1	1	1	-1	-1	2	-2	-2	0	-1	-2	-1	-1	-2	-2	-1	-2	0	1	-2	-2	-2	-2	0	2	-1	"4"	0	"1"	"islam"	"0"	"0"	"0"	"1"	"999"	4	5	"0"	"3"	0	2	-2	2	0	2	1	-1	2	2	-2	-2	-2	1	2	-2	2	2	2	-2	-2	1	-2	-2	-2	-2	-1	2	-1	0	0	1	2	1	2	1	-2	-2	2	2	2	2	2	-2	1	-2	2	0	0	-2	-2	-2	-2	2	-2	2	-1	2	1	2	1	-2	-2	1	0	2	2	4	1	0
"22"	"Anton"	"atoe5"	"sept27.24"	"family"	"home"	"face to face"	1	1	27	"jobless"	"hvid"	"Dansk"	6	"13"	"1"	"7"	1	-1	1	-1	1	1	0	5	2	"2"	1	"blankt"	"1"	0	-1	1	-1	-1	-2	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	2	-1	-2	-1	-2	0	-2	-1	-1	0	-1	-1	1	"0"	0	"0"	"ingen"	"999"	"999"	"999"	"999"	"0"	0	0	"0"	"0"	0	2	1	-2	-2	-2	2	-2	-2	-2	-2	0	-2	0	-2	-1	0	1	1	1	-2	0	-1	-2	-2	-2	-2	-2	-2	-2	1	-2	1	-2	-2	-2	-2	-2	0	-2	-2	-2	-2	-2	0	-2	-2	0	0	0	0	0	0	1	0	-2	0	-2	-2	1	-1	-1	-1	0	-2	-2	1	0	1	0
"23"	"Anton"	"atoe6"	"sept27.24"	"family"	"home"	"face to face"	0	1	29	"kommunikation"	"kineser"	"kineser"	6	"18"	"1"	"29"	1	1	0	-1	-1	2	-2	5	2	"2"	0	"ingen valgret"	"4"	0	1	-1	0	-1	-2	1	1	1	1	-2	0	0	-1	-2	-2	-2	0	1	-2	0	-1	-2	0	0	-1	1	1	1	-1	2	"0"	0	"0"	"ingen"	"999"	"999"	"999"	"999"	"0"	0	1	"0"	"1"	2	4	-1	-1	-2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2	1	0	-2	-2	-2	-2	-2	-2	0	0	-2	-2	-2	-2	-2	-2	-2	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	-2	1	-2	-2	1	-2	-2	2	-2	-2	-2	-2	-2	-2	-2	-2	-2	2	0	0	0
"24"	"Anton"	"atoe7"	"sept28.24"	"familiar"	"Online"	"facebook"	0	1	16	"Studerende"	"Dansk"	"Dansk"	1	"0"	"1"	"0"	1	0	1	0	1	2	-1	888	2	"2"	0	"ingen valgret"	"4"	0	0	0	1	0	0	-2	1	-1	0	-1	-1	-1	-1	2	-1	-1	0	0	0	1	0	0	-1	0	-1	0	0	0	0	0	"3"	1	"1"	"jehovas vidner"	"1"	"1"	"1"	"1"	"0"	5	5	"4"	"3"	4	5	-1	-2	2	2	-2	-1	2	0	0	1	0	1	1	0	0	0	1	0	-2	1	0	0	-2	-2	2	2	-1	1	-2	0	-1	1	1	0	2	-2	2	2	0	2	2	-1	1	2	1	0	0	0	0	1	-1	1	0	-1	0	1	-1	0	0	0	2	2	0	0	1	3	0	0
"25"	"Anton"	"atoe8"	"sept29.24"	"family"	"home"	"face to face"	0	1	55	"underviser"	"Dansk"	"Dansk"	2	"18"	"1"	"1"	1	-1	1	-1	0	2	-2	4	2	"2"	-2	"sf"	"1"	0	1	1	1	1	-1	0	0	0	2	0	-1	-1	-1	-1	-2	-2	-1	-1	-2	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	"0"	0	"0"	"ingen"	"999"	"999"	"999"	"999"	"11"	0	0	"0"	"0"	0	1	0	-1	-2	-2	-2	-2	-2	-2	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-1	-1	-2	-1	-1	-2	-1	-2	-2	-2	-1	-1	-1	-1	2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	2	-1	-1	1	-2	-2	-2	-2	-2	-2	2	0	0	0
"26"	"Anton"	"atoe9"	"octo1.24"	"familiar"	"Online"	"facebook"	0	1	29	"barsel"	"kaukasisk"	"Dansk"	1	"7"	"1"	"29"	2	1	-1	-1	1	1	-1	2	1	"2"	1	"blankt"	"5"	1	-2	-1	1	-1	1	-1	-1	-2	1	2	-1	-1	-2	-2	-2	-1	-1	0	-2	-2	-1	-2	0	-1	-2	-1	-2	-1	-2	1	"0"	0	"0"	"ingen"	"999"	"999"	"999"	"888"	"0"	0	0	"0"	"0"	0	3	2	-2	-2	-2	-2	-2	-2	1	-2	1	-2	-2	-2	1	-1	-2	-2	-2	1	-2	0	-2	-2	-1	-2	-2	-2	-2	-2	-2	0	-2	-2	-1	-2	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	-2	-2	-2	-2	-1	-2	-2	2	-2	-2	0	-2	-2	-2	-2	-2	-2	0	0	0	0
"27"	"Ditte"	"db001"	"sept24.24"	"family"	"online"	"facetime"	0	1	53	"Praest"	"Dansk"	"Dansk"	2	"18"	"1"	"10"	1	-2	0	0	-2	-2	-2	10	2	"3"	-2	"Socialistisk Folkeparti"	"1"	-2	-1	-2	-1	-1	-2	-2	-1	-1	0	-2	-2	-2	-2	-2	-2	-2	-2	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	"3"	1	"1"	"Folkekirken"	"1"	"1"	"1"	"1"	"999"	4	4	"3"	"-2"	3	5	-2	-2	-1	-1	-2	-2	-2	-2	-2	0	0	0	-2	-1	-2	-2	-2	-2	-2	-1	-2	-2	-2	-2	-2	-2	-2	0	0	-2	-2	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	-2	-2	-2	-2	0	-1	0	-1	-1	-2	-2	-1	0	-2	-2	-2	-2	-2	-1	-2	-1	-2	3	0	0
