""	"PARTID"	"order"	"item"	"CODE_evj"	"CODE"
"42"	"evj005"	4	"præst"	"characteristics"	"institution"
"43"	"atoe003"	3	"præst"	"characteristics"	"institution"
"44"	"sh015"	2	"præst"	"characteristics"	"institution"
"45"	"evj001"	2	"præster"	"characteristics"	"institution"
"46"	"atoe001"	2	"præster"	"characteristics"	"institution"
"47"	"mgs015"	4	"paaklaedning"	"objects"	"characteristics"
"48"	"evj001"	4	"religiøse mennesker"	"characteristics"	"characteristics"
"49"	"rse008"	2	"skiftende"	"misc"	"characteristics"
"50"	"atoe004"	3	"troende"	"belief"	"characteristics"
"51"	"rse006"	5	"troende"	"belief"	"characteristics"
"52"	"mgs001"	5	"faelles"	"community"	"community"
"53"	"hkp001"	1	"faellesskab"	"community"	"community"
"54"	"hkp002"	4	"faellesskab"	"community"	"community"
"55"	"hkp009"	3	"faellesskab"	"community"	"community"
"56"	"sh001"	4	"faellesskab"	"community"	"community"
"57"	"sh007"	4	"faellesskab"	"community"	"community"
"58"	"sh012"	4	"faellesskab"	"community"	"community"
"59"	"mgs002"	2	"faellesskab"	"community"	"community"
"60"	"mgs003"	5	"faellesskab"	"community"	"community"
"61"	"mgs005"	5	"faellesskab"	"community"	"community"
"62"	"mgs017"	1	"faellesskab"	"community"	"community"
"63"	"mgs018"	2	"faellesskab"	"community"	"community"
"64"	"rse0001"	4	"familie"	"community"	"community"
"65"	"sh007"	5	"familie"	"community"	"community"
"66"	"rse004"	3	"fællesskab"	"community"	"community"
"67"	"atoe010"	3	"fællesskab"	"community"	"community"
"68"	"sh005"	5	"kult"	"negative"	"community"
"69"	"atoe010"	5	"mangfoldighed"	"community"	"community"
"70"	"atoe005"	1	"menneskekærlighed"	"community"	"community"
"71"	"evj002"	4	"sammenhold"	"community"	"community"
"72"	"evj004"	4	"sammenhold"	"community"	"community"
"73"	"evj002"	2	"trossamfund"	"community"	"community"
"74"	"rse007"	1	"trossamfund i alt almindelighed"	"community"	"community"
"75"	"mgs021"	4	"doed"	"concepts"	"concepts"
"76"	"rse009"	4	"hellig"	"concepts"	"concepts"
"77"	"mgs007"	5	"helligt"	"concepts"	"concepts"
"78"	"mgs005"	4	"himmel"	"concepts"	"concepts"
"79"	"mgs021"	5	"liv"	"concepts"	"concepts"
"80"	"mgs003"	1	"noget stort"	"concepts"	"concepts"
"81"	"rse008"	5	"potent"	"misc"	"concepts"
"82"	"mgs006"	4	"skabelse"	"concepts"	"concepts"
"83"	"hkp006"	5	"spiritualitet"	"concepts"	"concepts"
"84"	"sh006"	4	"underne"	"concepts"	"concepts"
"85"	"sh011"	1	"Dedikation"	"characteristics"	"feelings"
"86"	"mgs006"	2	"emotionelt"	"feelings"	"feelings"
"87"	"mgs017"	2	"foelelser"	"feelings"	"feelings"
"88"	"atoe004"	5	"glæde"	"feelings"	"feelings"
"89"	"mgs004"	4	"kaerlighed"	"feelings"	"feelings"
"90"	"mgs004"	1	"kompliceret"	"misc"	"feelings"
"91"	"evj004"	5	"næstekærlighed"	"community"	"feelings"
"92"	"rse008"	4	"relevant"	"misc"	"feelings"
"93"	"mgs002"	1	"ro"	"feelings"	"feelings"
"94"	"hkp006"	4	"spaendende"	"misc"	"feelings"
"95"	"hkp001"	3	"tillid"	"community"	"feelings"
"96"	"sh007"	2	"tryghed"	"feelings"	"feelings"
"97"	"mgs008"	2	"tryghed"	"feelings"	"feelings"
"98"	"hkp005"	2	"tryghed"	"feelings"	"feelings"
"99"	"mgs001"	2	"trygt"	"feelings"	"feelings"
"100"	"sh010"	3	"ydmyghed"	"characteristics"	"feelings"
"101"	"mgs007"	2	"en form for gud"	"god"	"god"
"102"	"hkp002"	1	"gud"	"god"	"god"
"103"	"hkp008"	1	"gud"	"god"	"god"
"104"	"hkp010"	2	"gud"	"god"	"god"
"105"	"evj001"	1	"gud"	"god"	"god"
"106"	"evj003"	2	"gud"	"god"	"god"
"107"	"evj004"	1	"gud"	"god"	"god"
"108"	"evj005"	2	"gud"	"god"	"god"
"109"	"atoe006"	4	"Gud"	"god"	"god"
"110"	"atoe007"	4	"gud"	"god"	"god"
"111"	"rse006"	1	"gud"	"god"	"god"
"112"	"rse009"	2	"gud"	"god"	"god"
"113"	"sh004"	1	"gud"	"god"	"god"
"114"	"sh006"	3	"gud"	"god"	"god"
"115"	"sh013"	4	"gud"	"god"	"god"
"116"	"sh014"	1	"gud"	"god"	"god"
"117"	"sh015"	3	"gud"	"god"	"god"
"118"	"mgs005"	1	"gud"	"god"	"god"
"119"	"mgs012"	2	"gud"	"god"	"god"
"120"	"mgs015"	1	"gud"	"god"	"god"
"121"	"mgs018"	3	"gud"	"god"	"god"
"122"	"mgs019"	1	"gud"	"god"	"god"
"123"	"mgs020"	4	"gud"	"god"	"god"
"124"	"mgs021"	1	"gud"	"god"	"god"
"125"	"rse004"	4	"guder"	"god"	"god"
"126"	"sh004"	3	"helligaanden"	"god"	"god"
"127"	"atoe006"	3	"Jesus"	"god"	"god"
"128"	"atoe014"	5	"Jesus"	"god"	"god"
"129"	"sh004"	2	"jesus"	"god"	"god"
"130"	"sh014"	2	"jesus"	"god"	"god"
"131"	"hkp004"	4	"individuelt"	"individual"	"individual"
"132"	"mgs004"	2	"individuelt"	"individual"	"individual"
"133"	"mgs006"	1	"individuelt"	"individual"	"individual"
"134"	"mgs022"	5	"personlig"	"individual"	"individual"
"135"	"mgs001"	1	"personligt"	"feelings"	"individual"
"136"	"rse004"	1	"institution"	"institution"	"institution"
"137"	"sh001"	1	"institution"	"institution"	"institution"
"138"	"rse008"	1	"institutionaliseret"	"institution"	"institution"
"139"	"mgs017"	5	"institutioner"	"institution"	"institution"
"140"	"atoe004"	1	"Islam"	"institution"	"institution"
"141"	"atoe005"	5	"islam"	"institution"	"institution"
"142"	"atoe013"	2	"islam"	"institution"	"institution"
"143"	"sh009"	3	"islam"	"institution"	"institution"
"144"	"atoe013"	3	"jødedommen"	"institution"	"institution"
"145"	"sh015"	5	"kongehus"	"institution"	"institution"
"146"	"hkp005"	3	"kristendom"	"institution"	"institution"
"147"	"hkp008"	2	"kristendom"	"institution"	"institution"
"148"	"atoe013"	1	"kristendom"	"institution"	"institution"
"149"	"atoe014"	1	"kristendom"	"institution"	"institution"
"150"	"atoe011"	1	"mission"	"misc"	"institution"
"151"	"rse003"	1	"religion"	"institution"	"institution"
"152"	"sh003"	1	"religion"	"institution"	"institution"
"153"	"mgs015"	5	"religion"	"institution"	"institution"
"154"	"mgs022"	1	"religion"	"institution"	"institution"
"155"	"hkp006"	2	"trosretning"	"belief"	"institution"
"156"	"mgs008"	1	"coping"	"feelings"	"meaning"
"157"	"mgs004"	5	"fred"	"feelings"	"meaning"
"158"	"mgs013"	3	"hjaelp"	"meaning"	"meaning"
"159"	"sh012"	3	"hjaelp i livets svaere situationer"	"meaning"	"meaning"
"160"	"evj003"	3	"håb"	"meaning"	"meaning"
"161"	"atoe004"	4	"håb"	"meaning"	"meaning"
"162"	"hkp009"	4	"haab"	"meaning"	"meaning"
"163"	"hkp010"	3	"haab"	"meaning"	"meaning"
"164"	"mgs008"	3	"livsgrundlag"	"meaning"	"meaning"
"165"	"evj004"	3	"mening"	"meaning"	"meaning"
"166"	"mgs002"	3	"mening"	"meaning"	"meaning"
"167"	"mgs003"	2	"mening"	"meaning"	"meaning"
"168"	"mgs010"	1	"mening"	"meaning"	"meaning"
"169"	"sh005"	1	"mening med livet"	"meaning"	"meaning"
"170"	"mgs008"	5	"menneskeligt behov"	"meaning"	"meaning"
"171"	"sh005"	4	"rettesnor for livet"	"meaning"	"meaning"
"172"	"mgs014"	1	"soegen efter mening"	"meaning"	"meaning"
"173"	"hkp004"	1	"stoette"	"meaning"	"meaning"
"174"	"sh005"	2	"troest"	"meaning"	"meaning"
"175"	"mgs001"	3	"troest"	"meaning"	"meaning"
"176"	"hkp010"	5	"vaerdier"	"rules"	"meaning"
"177"	"rse002"	1	"ikke besvaret"	NA	NA
"178"	"atoe008"	1	"ikke besvaret"	NA	NA
"179"	"sh010"	4	NA	NA	NA
"180"	"sh010"	5	NA	NA	NA
"181"	"sh011"	2	NA	NA	NA
"182"	"sh011"	3	NA	NA	NA
"183"	"sh011"	4	NA	NA	NA
"184"	"sh011"	5	NA	NA	NA
"185"	"sh012"	5	NA	NA	NA
"186"	"sh014"	4	NA	NA	NA
"187"	"sh014"	5	NA	NA	NA
"188"	"mgs002"	5	NA	NA	NA
"189"	"mgs011"	1	NA	NA	NA
"190"	"mgs011"	2	NA	NA	NA
"191"	"mgs011"	3	NA	NA	NA
"192"	"mgs011"	4	NA	NA	NA
"193"	"mgs011"	5	NA	NA	NA
"194"	"mgs014"	3	NA	NA	NA
"195"	"mgs014"	4	NA	NA	NA
"196"	"mgs014"	5	NA	NA	NA
"197"	"mgs018"	4	NA	NA	NA
"198"	"mgs018"	5	NA	NA	NA
"199"	"mgs013"	4	"bundet"	"misc"	"negative"
"200"	"atoe003"	5	"bøvl"	"negative"	"negative"
"201"	"atoe009"	5	"en jeg ikke gider have et venskab med"	"negative"	"negative"
"202"	"sh010"	1	"fanatisme"	"negative"	"negative"
"203"	"mgs013"	5	"fantasi"	"negative"	"negative"
"204"	"mgs004"	3	"farligt"	"negative"	"negative"
"205"	"atoe009"	2	"fjern"	"negative"	"negative"
"206"	"hkp009"	5	"fordoemmelse"	"negative"	"negative"
"207"	"sh008"	2	"had"	"negative"	"negative"
"208"	"sh009"	5	"had"	"negative"	"negative"
"209"	"sh010"	2	"had"	"negative"	"negative"
"210"	"atoe005"	3	"kan være farligt"	"negative"	"negative"
"211"	"sh008"	1	"krig"	"negative"	"negative"
"212"	"sh009"	4	"krig"	"negative"	"negative"
"213"	"mgs016"	3	"krig"	"negative"	"negative"
"214"	"sh008"	3	"ondskab"	"negative"	"negative"
"215"	"sh008"	4	"opdeling"	"negative"	"negative"
"216"	"atoe009"	4	"overdrevet"	"negative"	"negative"
"217"	"sh005"	3	"overtro"	"negative"	"negative"
"218"	"mgs003"	4	"skroebeligt"	"misc"	"negative"
"219"	"atoe005"	4	"terrorisme"	"negative"	"negative"
"220"	"mgs016"	2	"uenigheder"	"negative"	"negative"
"221"	"atoe009"	3	"uintelligent"	"negative"	"negative"
"222"	"sh008"	5	"uretfaerdighed"	"negative"	"negative"
"223"	"atoe009"	1	"uviden"	"negative"	"negative"
"224"	"atoe003"	4	"vås"	"negative"	"negative"
"225"	"atoe003"	2	"alter"	"objects"	"objects"
"226"	"atoe007"	1	"bibelen"	"objects"	"objects"
"227"	"mgs009"	3	"biblen"	"objects"	"objects"
"228"	"sh002"	2	"bøger"	"objects"	"objects"
"229"	"mgs016"	5	"koranen"	"objects"	"objects"
"230"	"mgs010"	5	"kors"	"objects"	"objects"
"231"	"atoe001"	3	"salmer"	"ritual"	"objects"
"232"	"sh003"	4	"salmer"	"ritual"	"objects"
"233"	"sh015"	4	"skrifter"	"objects"	"objects"
"234"	"mgs007"	1	"skrifter"	"objects"	"objects"
"235"	"sh003"	5	"symboler"	"objects"	"objects"
"236"	"atoe006"	1	"kirke"	"places"	"places"
"237"	"evj001"	3	"kirke"	"places"	"places"
"238"	"evj002"	1	"kirke"	"places"	"places"
"239"	"evj003"	1	"kirke"	"places"	"places"
"240"	"evj005"	1	"kirke"	"places"	"places"
"241"	"atoe001"	1	"kirke"	"places"	"places"
"242"	"atoe003"	1	"kirke"	"places"	"places"
"243"	"rse006"	2	"kirke"	"places"	"places"
"244"	"rse009"	3	"kirke"	"places"	"places"
"245"	"atoe012"	1	"kirke"	"places"	"places"
"246"	"atoe014"	2	"kirke"	"places"	"places"
"247"	"sh014"	3	"kirke"	"places"	"places"
"248"	"sh015"	1	"kirke"	"places"	"places"
"249"	"mgs005"	2	"kirke"	"places"	"places"
"250"	"mgs009"	1	"kirke"	"places"	"places"
"251"	"mgs012"	1	"kirke"	"places"	"places"
"252"	"mgs016"	1	"kirke"	"places"	"places"
"253"	"mgs019"	5	"kirke"	"places"	"places"
"254"	"mgs021"	2	"kirke"	"places"	"places"
"255"	"hkp003"	1	"kirke"	"places"	"places"
"256"	"hkp005"	1	"kirke"	"places"	"places"
"257"	"hkp006"	1	"kirke"	"places"	"places"
"258"	"hkp007"	1	"kirke"	"places"	"places"
"259"	"hkp008"	3	"kirke"	"places"	"places"
"260"	"sh003"	2	"kirker og moskeer"	"places"	"places"
"261"	"sh004"	5	"kirker og moskeer"	"places"	"places"
"262"	"rse006"	3	"moske"	"places"	"places"
"263"	"sh004"	4	"moske"	"places"	"places"
"264"	"mgs012"	5	"moske"	"places"	"places"
"265"	"atoe007"	5	"rigssal"	"places"	"places"
"266"	"rse006"	4	"tempel"	"places"	"places"
"267"	"hkp002"	2	"at bede"	"prayer"	"prayer"
"268"	"sh009"	1	"be"	"prayer"	"prayer"
"269"	"hkp010"	4	"bede"	"prayer"	"prayer"
"270"	"sh006"	2	"bede"	"prayer"	"prayer"
"271"	"mgs022"	4	"bede"	"prayer"	"prayer"
"272"	"hkp007"	3	"boen"	"prayer"	"prayer"
"273"	"mgs005"	3	"boen"	"prayer"	"prayer"
"274"	"mgs006"	5	"boen"	"prayer"	"prayer"
"275"	"mgs007"	4	"boen"	"prayer"	"prayer"
"276"	"mgs010"	3	"boen"	"prayer"	"prayer"
"277"	"evj003"	5	"bøn"	"prayer"	"prayer"
"278"	"evj005"	3	"bøn"	"prayer"	"prayer"
"279"	"rse0001"	5	"bøn"	"prayer"	"prayer"
"280"	"atoe004"	2	"bøn"	"prayer"	"prayer"
"281"	"atoe007"	2	"bøn"	"prayer"	"prayer"
"282"	"rse009"	1	"bøn"	"prayer"	"prayer"
"283"	"ateo014"	3	"bøn"	"prayer"	"prayer"
"284"	"atoe001"	5	"altergang"	"ritual"	"ritual"
"285"	"hkp003"	3	"bryllup"	"ritual"	"ritual"
"286"	"hkp003"	4	"daab"	"ritual"	"ritual"
"287"	"sh007"	3	"fejring"	"ritual"	"ritual"
"288"	"atoe001"	4	"gudstjeneste"	"ritual"	"ritual"
"289"	"mgs012"	4	"gudstjeneste"	"ritual"	"ritual"
"290"	"evj005"	5	"kollektive ritualer"	"ritual"	"ritual"
"291"	"atoe002"	1	"konfirmation"	"ritual"	"ritual"
"292"	"atoe006"	5	"Messe"	"ritual"	"ritual"
"293"	"rse0001"	2	"praksis"	"ritual"	"ritual"
"294"	"mgs006"	3	"praksis"	"ritual"	"ritual"
"295"	"mgs020"	2	"praksis"	"ritual"	"ritual"
"296"	"mgs022"	3	"praksis"	"ritual"	"ritual"
"297"	"sh003"	3	"religioes praksis"	"ritual"	"ritual"
"298"	"rse004"	5	"ritual"	"ritual"	"ritual"
"299"	"mgs010"	4	"ritual"	"ritual"	"ritual"
"300"	"atoe010"	2	"ritualer"	"ritual"	"ritual"
"301"	"sh001"	2	"ritualer"	"ritual"	"ritual"
"302"	"mgs015"	3	"ritualer"	"ritual"	"ritual"
"303"	"mgs020"	3	"ritualer"	"ritual"	"ritual"
"304"	"mgs017"	4	"ritualer"	"ritual"	"ritual"
"305"	"atoe14"	4	"sang"	"ritual"	"ritual"
"306"	"sh002"	5	"sang"	"ritual"	"ritual"
"307"	"atoe010"	4	"etik"	"rules"	"rules"
"308"	"mgs008"	4	"etisk rettesnor"	"rules"	"rules"
"309"	"sh002"	4	"indoktrinering"	"negative"	"rules"
"310"	"hkp008"	5	"levemaader"	"rules"	"rules"
"311"	"sh001"	3	"lov"	"rules"	"rules"
"312"	"evj002"	5	"magt"	"misc"	"rules"
"313"	"mgs001"	4	"moralsk"	"rules"	"rules"
"314"	"hkp008"	4	"normer"	"rules"	"rules"
"315"	"mgs013"	2	"pligt"	"rules"	"rules"
"316"	"hkp009"	1	"regler"	"rules"	"rules"
"317"	"sh006"	5	"tabu"	"rules"	"rules"
"318"	"mgs003"	3	"gammelt"	"misc"	"tradition"
"319"	"rse005"	1	"historie"	"misc"	"tradition"
"320"	"mgs009"	4	"historie"	"misc"	"tradition"
"321"	"mgs012"	3	"konservativt"	"misc"	"tradition"
"322"	"sh012"	2	"kultur"	"tradition"	"tradition"
"323"	"mgs014"	2	"kultur"	"tradition"	"tradition"
"324"	"mgs016"	4	"kultur"	"tradition"	"tradition"
"325"	"hkp004"	3	"kultur"	"tradition"	"tradition"
"326"	"mgs020"	5	"myter"	"misc"	"tradition"
"327"	"rse008"	3	"samfundsbaseret"	"misc"	"tradition"
"328"	"mgs019"	3	"tradisjoner"	"tradition"	"tradition"
"329"	"hkp003"	2	"tradition"	"tradition"	"tradition"
"330"	"hkp004"	2	"tradition"	"tradition"	"tradition"
"331"	"rse0001"	3	"tradition"	"tradition"	"tradition"
"332"	"sh007"	1	"tradition"	"tradition"	"tradition"
"333"	"mgs009"	2	"traditioner"	"tradition"	"tradition"
