""	"PARTID"	"order"	"item"	"CODE"
"147"	"sh015"	1	"religion"	"institution"
"148"	"sh015"	2	"helligdom"	"institution"
"149"	"mgs007"	4	"religion"	"institution"
"150"	"mgs010"	3	"praest"	"institution"
"151"	"mgs013"	3	"kirke"	"institution"
"152"	"mgs015"	4	"kirke"	"institution"
"153"	"mgs017"	3	"religion"	"institution"
"154"	"mgs017"	4	"kristendom"	"institution"
"155"	"mgs020"	5	"religion"	"institution"
"156"	"mgs021"	1	"kirke"	"institution"
"157"	"mgs022"	4	"kirke"	"institution"
"158"	"evj002"	4	"tradition"	"institution"
"159"	"atoe002"	1	"gammel mand"	"looks"
"160"	"atoe003"	4	"mand"	"looks"
"161"	"rse006"	2	"mand"	"looks"
"162"	"rse006"	5	"skæg"	"looks"
"163"	"atoe003"	5	"hvidt skæg"	"looks"
"164"	"rse007"	2	"gammel mand"	"looks"
"165"	"rse007"	3	"hvidt hår"	"looks"
"166"	"rse007"	4	"langt skæg"	"looks"
"167"	"rse008"	1	"mand"	"looks"
"168"	"rse008"	2	"kvinde"	"looks"
"169"	"sh001"	1	"mand"	"looks"
"170"	"sh002"	4	"graat haar"	"looks"
"171"	"sh002"	5	"graat skaeg"	"looks"
"172"	"sh011"	1	"skaeg (haha)"	"looks"
"173"	"mgs003"	5	"gammelt"	"looks"
"174"	"mgs005"	2	"mand"	"looks"
"175"	"mgs010"	5	"skaeg"	"looks"
"176"	"mgs012"	1	"langt skaeg"	"looks"
"177"	"mgs012"	2	"hvidt toej"	"looks"
"178"	"mgs012"	3	"mand"	"looks"
"179"	"mgs016"	3	"mand"	"looks"
"180"	"mgs016"	4	"skaeg"	"looks"
"181"	"mgs019"	3	"mann"	"looks"
"182"	"mgs020"	1	"mand"	"looks"
"183"	"hkp006"	1	"gamle maend"	"misc"
"184"	"hkp003"	2	"gammel historie"	"misc"
"185"	"hkp004"	1	"fortaellinger"	"misc"
"186"	"evj002"	1	"himmel"	"misc"
"187"	"evj002"	5	"alderdom"	"misc"
"188"	"evj003"	3	"patriarkalsk"	"misc"
"189"	"evj005"	5	"universet"	"misc"
"190"	"atoe003"	1	"skyer"	"misc"
"191"	"atoe003"	2	"himmel"	"misc"
"192"	"atoe003"	3	"sol"	"misc"
"193"	"atoe005"	3	"himlen"	"misc"
"194"	"atoe006"	4	"himmel"	"misc"
"195"	"rse006"	3	"himlen"	"misc"
"196"	"rse009"	3	"himmel"	"misc"
"197"	"rse009"	5	"salmer"	"misc"
"198"	"atoe009"	2	"historiefortælling"	"misc"
"199"	"atoe010"	1	"symbol"	"misc"
"200"	"atoe010"	2	"skabelse"	"misc"
"201"	"atoe010"	3	"forskellige"	"misc"
"202"	"atoe010"	4	"polyteisme"	"misc"
"203"	"atoe010"	5	"monoteisme"	"misc"
"204"	"atoe011"	1	"hyppigt brugt"	"misc"
"205"	"sh006"	1	"paradis"	"misc"
"206"	"sh010"	4	"himlen"	"misc"
"207"	"sh011"	3	"maa ikke tegnes / skildres"	"misc"
"208"	"sh013"	2	"himlen"	"misc"
"209"	"mgs002"	5	"oppe"	"misc"
"210"	"mgs004"	3	"mennesker"	"misc"
"211"	"mgs004"	5	"platon"	"misc"
"212"	"mgs005"	1	"skyer"	"misc"
"213"	"mgs009"	1	"himlen"	"misc"
"214"	"mgs010"	4	"himmel"	"misc"
"215"	"mgs012"	4	"skabelsesberetningen"	"misc"
"216"	"mgs012"	5	"adam og eva"	"misc"
"217"	"mgs013"	4	"doed"	"misc"
"218"	"mgs016"	1	"himlen"	"misc"
"219"	"mgs016"	2	"universet"	"misc"
"220"	"mgs016"	5	"sky"	"misc"
"221"	"mgs018"	2	"hvad/hvem er det?"	"misc"
"222"	"mgs019"	4	"himmelen"	"misc"
"223"	"mgs019"	5	"helvete"	"misc"
"224"	"mgs021"	4	"himmel"	"misc"
"225"	"hkp010"	2	"spiritualitet"	"misc"
"226"	"rse002"	1	"ikke besvaret"	NA
"227"	"atoe008"	1	"ikke besvaret"	NA
"228"	"sh008"	3	NA	NA
"229"	"sh008"	4	NA	NA
"230"	"sh008"	5	NA	NA
"231"	"sh010"	5	NA	NA
"232"	"sh011"	4	NA	NA
"233"	"sh011"	5	NA	NA
"234"	"sh012"	4	NA	NA
"235"	"sh012"	5	NA	NA
"236"	"sh013"	5	NA	NA
"237"	"sh014"	2	NA	NA
"238"	"sh014"	3	NA	NA
"239"	"sh014"	4	NA	NA
"240"	"sh014"	5	NA	NA
"241"	"mgs006"	4	NA	NA
"242"	"mgs006"	5	NA	NA
"243"	"mgs011"	1	NA	NA
"244"	"mgs011"	2	NA	NA
"245"	"mgs011"	3	NA	NA
"246"	"mgs011"	4	NA	NA
"247"	"mgs011"	5	NA	NA
"248"	"mgs014"	3	NA	NA
"249"	"mgs014"	4	NA	NA
"250"	"mgs014"	5	NA	NA
"251"	"mgs018"	4	NA	NA
"252"	"mgs018"	5	NA	NA
"253"	"mgs009"	2	"helvede"	"negative"
"254"	"mgs021"	5	"helvede"	"negative"
"255"	"evj001"	3	"dumhed"	"negative"
"256"	"evj001"	4	"penge"	"negative"
"257"	"evj002"	3	"forestilling"	"negative"
"258"	"evj003"	2	"barnligt"	"negative"
"259"	"atoe005"	4	"helvede"	"negative"
"260"	"atoe006"	1	"Satan"	"negative"
"261"	"rse004"	5	"ond"	"negative"
"262"	"rse005"	1	"syndefald"	"negative"
"263"	"rse008"	3	"falsk tryghed"	"negative"
"264"	"atoe009"	1	"indoktrinering"	"negative"
"265"	"atoe009"	3	"kønsdiskriminerende"	"negative"
"266"	"atoe009"	4	"ulighed"	"negative"
"267"	"atoe009"	5	"overdrevet"	"negative"
"268"	"atoe011"	2	"hyppigt misbrugt"	"negative"
"269"	"sh005"	3	"not existing"	"negative"
"270"	"sh005"	4	"fup"	"negative"
"271"	"sh005"	5	"hykler"	"negative"
"272"	"sh006"	3	"straf"	"negative"
"273"	"sh015"	3	"overtro"	"negative"
"274"	"mgs002"	4	"overnaturligt"	"negative"
"275"	"mgs003"	4	"fup"	"negative"
"276"	"mgs009"	3	"synder"	"negative"
"277"	"mgs009"	4	"straf"	"negative"
"278"	"mgs018"	3	"findes ikke"	"negative"
"279"	"mgs022"	5	"krig"	"negative"
"280"	"atoe001"	1	"biblen"	"object"
"281"	"rse001"	1	"bibelen"	"object"
"282"	"rse001"	2	"figur"	"object"
"283"	"rse003"	2	"bibelen"	"object"
"284"	"atoe014"	2	"det gamle testamente"	"object"
"285"	"sh002"	3	"bibelen"	"object"
"286"	"sh009"	5	"boeger"	"object"
"287"	"mgs010"	2	"kors"	"object"
"288"	"mgs019"	1	"bibelen"	"object"
"289"	"mgs019"	2	"tekst"	"object"
"290"	"mgs021"	3	"bibel"	"object"
"291"	"hkp003"	1	"kirke"	"places"
"292"	"evj001"	2	"kirke"	"places"
"293"	"evj003"	4	"kirke"	"places"
"294"	"rse003"	3	"kirke"	"places"
"295"	"atoe014"	3	"kirke"	"places"
"296"	"sh009"	3	"mekka"	"places"
"297"	"rse009"	2	"bøn"	"prayer"
"298"	"atoe014"	3	"fadervor"	"prayer"
"299"	"sh004"	5	"boen"	"prayer"
"300"	"sh013"	3	"be"	"prayer"
"301"	"mgs005"	3	"boen"	"prayer"
"302"	"mgs017"	5	"boen"	"prayer"
"303"	"mgs013"	5	"daab"	"institution"
"304"	"hkp001"	3	"bod og straf"	"rules"
"305"	"sh008"	1	"etik"	"rules"
"306"	"sh010"	1	"etik"	"rules"
"307"	"hkp006"	3	"kun én?"	"trinity"
"308"	"hkp007"	2	"jesus"	"trinity"
"309"	"hkp007"	3	"helligaand"	"trinity"
"310"	"hkp010"	4	"jesus"	"trinity"
"311"	"evj003"	1	"helligånd"	"trinity"
"312"	"evj003"	5	"jesus"	"trinity"
"313"	"atoe001"	2	"jesus"	"trinity"
"314"	"atoe001"	3	"helligånd"	"trinity"
"315"	"rse001"	5	"jesus"	"trinity"
"316"	"rse006"	1	"jesus"	"trinity"
"317"	"atoe013"	1	"jesus"	"trinity"
"318"	"atoe014"	1	"helligånd"	"trinity"
"319"	"atoe014"	2	"jesus"	"trinity"
"320"	"sh004"	3	"jesus"	"trinity"
"321"	"sh013"	4	"jesus"	"trinity"
"322"	"sh015"	4	"jesus"	"trinity"
"323"	"mgs004"	4	"jesus"	"trinity"
"324"	"mgs010"	1	"jesus"	"trinity"
"325"	"mgs013"	1	"jesus"	"trinity"
"326"	"mgs013"	2	"helligaanden"	"trinity"
"327"	"mgs014"	2	"jesus"	"trinity"
"328"	"mgs021"	2	"jesus"	"trinity"
"329"	"mgs022"	3	"jesus"	"trinity"
