""	"PARTID"	"order"	"item"	"CODE"	"...5"	"...6"	"...7"	"...8"	"...9"	"...10"	"...11"	"...12"	"...13"	"...14"	"...15"	"...16"
"28"	"acgn006"	3	"Gudstjenester"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"acgn006"	4	"Ramadan"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	"acgn006"	5	"Juleaften"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	"acgn007"	1	"Gudstjeneste"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"acgn007"	2	"dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	"acgn007"	3	"konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"34"	"acgn007"	4	"meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"acgn007"	5	"be fadervor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"acgn008"	1	"commitment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"acgn008"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"acgn008"	3	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"39"	"acgn008"	4	"Krig og fred"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"acgn008"	5	"Historie"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"acgn009"	1	"Ritualer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	"acgn009"	2	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"acgn009"	3	"Håb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"acgn009"	4	"Liv efter døden"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	"acgn009"	5	"Symboler"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	"acgn010"	1	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	"acgn010"	2	"terror"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48"	"acgn010"	3	"cølibat"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	"acgn010"	4	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"50"	"acgn010"	5	"mad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"51"	"acgn011"	1	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	"acgn011"	2	"gud"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	"acgn011"	3	"nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	"acgn011"	4	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	"acgn011"	5	"templer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"KK001"	1	"At bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	"KK001"	2	"Krystaller"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"KK001"	3	"Beøsge hellige steder"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	"KK001"	4	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"KK001"	5	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"KK002"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"62"	"KK002"	2	"Jul"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"KK002"	3	"Påske"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"64"	"KK002"	4	"Moske"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	"KK002"	5	"Jesus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"66"	"KK003"	1	"Vanvid"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	"KK003"	2	"Krig"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68"	"KK003"	3	"Misfortolkning"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	"KK003"	4	"Dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	"KK003"	5	"Konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	"KK004"	1	"Gud"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	"KK004"	2	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	"KK004"	3	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"74"	"KK004"	4	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"KK004"	5	"Ro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"76"	"KK005"	1	"Ingenting"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"KK005"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	"KK005"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	"KK005"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"KK005"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"KK006"	1	"Åndelige tanker"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"82"	"KK006"	2	"Knyttet til kristendom"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"KK006"	3	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"84"	"KK006"	4	"Overbevisning"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	"KK006"	5	"Noget ud over mig selv"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	"KK007"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	"KK007"	2	"Fejringer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	"KK007"	3	"Buddisme"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	"KK007"	4	"Krig"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	"KK007"	5	"Energier"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	"KK008"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"92"	"KK008"	2	"Konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	"KK008"	3	"Præst"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	"KK008"	4	"Højtider"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	"KK008"	5	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	"KK009"	1	"Dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	"KK009"	2	"Konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	"KK009"	3	"Bryllup"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	"KK009"	4	"Barmitzvah"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"KK009"	5	"Tørklæde"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	"KK010"	1	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102"	"KK010"	2	"Gå i kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"KK010"	3	"Manifestere"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"104"	"KK010"	4	"Dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"105"	"KK010"	5	"Vielse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"106"	"KK011"	1	"Gå i kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"107"	"KK011"	2	"vaske op til et stort spirituelt arrangement, hvilket skulle gøre noget godt for sjælen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	"KK011"	3	"Skrifte"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"109"	"KK011"	4	"Meditere"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	"KK011"	5	"Chante"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	"KK012"	1	"Bekymrende"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	"KK012"	2	"Ikke logisk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"KK012"	3	"Vil ikke selv tage ansvar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"114"	"KK012"	4	"Umoden"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"KK012"	5	"Kunst"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"116"	"KK013"	1	"Akal"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	"KK013"	2	"Ro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"KK013"	3	"Samfundet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"119"	"KK013"	4	"Barnedåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"KK013"	5	"Tradition"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"KK014"	1	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"122"	"KK014"	2	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	"KK014"	3	"Mad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"124"	"KK014"	4	"Lys"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"125"	"KK014"	5	"Tæpper"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	"lhj001"	1	"fællesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"127"	"lhj001"	2	"tradition"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	"lhj001"	3	"meningsløst (for mig)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	"lhj001"	4	"overtro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"130"	"lhj001"	5	"mangel på videnskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131"	"lhj002"	1	"fællesskaber"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"lhj002"	2	"ritualer / traditioner"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	"lhj002"	3	"individualitet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	"lhj002"	4	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"135"	"lhj002"	5	"Risiko for konflikt"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"136"	"lhj003"	1	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	"lhj003"	2	"kirke/samling"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"lhj003"	3	"tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	"lhj003"	4	"fred"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"lhj003"	5	"ekstremisme"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"lhj004"	1	"overgang"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	"lhj004"	2	"sindsro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	"lhj004"	3	"rutine"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	"lhj004"	4	"tryghed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	"lhj004"	5	"tradition"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	"lhj005"	1	"mentalt helbred"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"147"	"lhj005"	2	"ro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"148"	"lhj005"	3	"mindfulness"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"149"	"lhj005"	4	"meningsløst (for mig)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"150"	"lhj005"	5	"retning"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	"lhj006"	1	"fællesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"152"	"lhj006"	2	"ro i sind"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"153"	"lhj006"	3	"styring af grupper/kontrol"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"154"	"lhj006"	4	"fralæggelse af ansvar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"155"	"lhj006"	5	"uro i verden"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"156"	"lhj007"	1	"dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	"lhj007"	2	"konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	"lhj007"	3	"bryllupper"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	"lhj007"	4	"degravelser"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	"lhj007"	5	"juleevangeliet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	"lhj008"	1	"ritual"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"162"	"lhj008"	2	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"163"	"lhj008"	3	"meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"164"	"lhj008"	4	"fællesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"165"	"lhj008"	5	"følelser"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	"lhj009"	1	"Ritualisering"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"167"	"lhj009"	2	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"168"	"lhj009"	3	"Inderlighed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"169"	"lhj009"	4	"Hellige tekster"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"170"	"lhj009"	5	"Anti hverdag"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"171"	"lhj010"	1	"ritualer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	"lhj010"	2	"kirkegang"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"173"	"lhj010"	3	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	"lhj010"	4	"yoga"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	"lhj010"	5	"sang"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"176"	"LM001"	1	"Kors"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	"LM001"	2	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"178"	"LM001"	3	"Ro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"179"	"LM001"	4	"Rum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	"LM001"	5	"Naervaer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	"LM002"	1	"At bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"182"	"LM002"	2	"Laese hellige skrifter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	"LM002"	3	"Daab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"184"	"LM002"	4	"Pilgrimsrejse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"185"	"LM002"	5	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"186"	"LM003"	1	"Gaa i kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	"LM003"	2	"Overtroisk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"188"	"LM003"	3	"Overnaturlig"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	"LM003"	4	"At tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"190"	"LM003"	5	"Daab, konfirmation, begravelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	"LM004"	1	"Taende et lys for andre"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"192"	"LM004"	2	"Begravelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	"LM004"	3	"Slip ballonen loes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"194"	"LM004"	4	"Mere mellem himmel og jord"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"195"	"LM004"	5	"Tradition"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	"LM005"	1	"Gaa i kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"197"	"LM005"	2	"Gud"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	"LM005"	3	"Daab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"199"	"LM005"	4	"Bryllup"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"200"	"LM005"	5	"Begravelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	"LM006"	1	"Daab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"202"	"LM006"	2	"Vielse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	"LM006"	3	"Doeden"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	"LM006"	4	"Himmel og jord soegen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	"LM006"	5	"Gudstjenester"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"206"	"LM007"	1	"Spaadom"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	"LM007"	2	"Tarotkort"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	"LM007"	3	"Serioesitet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	"LM007"	4	"Gaa i moske"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	"LM007"	5	"Sammenkomster"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	"LM008"	1	"For mig er det to forskellige ting"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"212"	"LM008"	2	"Religioese handlinger er det der sker f.eks. i kirker og moskéer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	"LM008"	3	"Spirituelle handlinger er for mig saadan noget med kortloesning eller at nogen fornemmer de doede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"214"	"LM008"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"215"	"LM008"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	"LM009"	1	"Religion forbinder jeg med tro, at ens hverdag og liv baere praeg af ens tro i forhold til hvilke valg man tager i livet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"217"	"LM009"	2	"Jeg mener ikke at vaere spirituelle en en del af at have en religion, det er tro forskellige ting"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	"LM009"	3	"Religion er en bestemt"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"219"	"LM009"	4	"Spirituel er man selv herre over"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"LM009"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	"LM010"	1	"Liturgi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	"LM010"	2	"Gudstjeneste"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	"LM010"	3	"Sakramenterne"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"224"	"LM010"	4	"Folkekirken"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	"LM010"	5	"Spiritualitet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"226"	"LM011"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	"LM011"	2	"Tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"228"	"LM011"	3	"Nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	"LM011"	4	"Hekse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"230"	"LM011"	5	"Daab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
